None_frobenius	None_kullback-leibler	None_itakura-saito	random_frobenius	random_kullback-leibler	random_itakura-saito	nndsvd_frobenius	nndsvd_kullback-leibler	nndsvd_itakura-saito	nndsvda_frobenius	nndsvda_kullback-leibler	nndsvda_itakura-saito	nndsvdar_frobenius	nndsvdar_kullback-leibler	nndsvdar_itakura-saito	SigProfiler
['SBS5']	['SBS5', 'SBS17b']	['SBS39']	['SBS5', 'SBS10c', 'SBS34']	['SBS28', 'SBS34']	['SBS1', 'SBS5', 'SBS51']	['SBS5', 'SBS17b']	['SBS1', 'SBS5']	['SBS1', 'SBS5']	['SBS39']	['SBS5', 'SBS17b']	['SBS39']	['SBS5']	['SBS5']	['SBS1', 'SBS3']	['SBS34', 'SBS85']
['SBS87']	['SBS87']	['SBS54', 'SBS87']	['SBS1', 'SBS17b', 'SBS22']	['SBS5', 'SBS24']	['SBS1', 'SBS7d', 'SBS17a', 'SBS17b', 'SBS35']	['SBS13', 'SBS21']	['SBS1', 'SBS21', 'SBS43']	['SBS1', 'SBS5', 'SBS21', 'SBS43']	['SBS87']	['SBS87']	['SBS54', 'SBS87']	['SBS1', 'SBS13', 'SBS21', 'SBS52']	['SBS21', 'SBS52']	['SBS13', 'SBS21', 'SBS43', 'SBS91']	['SBS17a', 'SBS17b', 'SBS31']
['SBS5', 'SBS8']	['SBS1', 'SBS5']	['SBS1', 'SBS5', 'SBS35']	['SBS39']	['SBS54', 'SBS87']	['SBS15']	['SBS5', 'SBS17a', 'SBS17b']	['SBS5', 'SBS43', 'SBS48']	['SBS5', 'SBS17b', 'SBS39']	['SBS5', 'SBS13']	['SBS1', 'SBS5']	['SBS1', 'SBS5', 'SBS35']	['SBS86']	['SBS5', 'SBS43', 'SBS91']	['SBS5']	['SBS21']
['SBS5', 'SBS32']	['SBS5', 'SBS21', 'SBS50']	['SBS5', 'SBS8', 'SBS21']	['SBS32', 'SBS51']	['SBS5', 'SBS21', 'SBS87']	['SBS5', 'SBS16', 'SBS53']	['SBS1', 'SBS5']	['SBS1', 'SBS5']	['SBS1', 'SBS5']	['SBS32', 'SBS86']	['SBS5', 'SBS21', 'SBS50']	['SBS5', 'SBS8', 'SBS21']	['SBS1', 'SBS5']	['SBS1', 'SBS5']	['SBS1', 'SBS39']	['SBS5']
['SBS5', 'SBS10a']	['SBS2', 'SBS9']	['SBS2', 'SBS25', 'SBS59']	['SBS5', 'SBS43']	['SBS5', 'SBS28']	['SBS5', 'SBS41']	['SBS5']	['SBS5']	['SBS5', 'SBS34', 'SBS87']	['SBS5', 'SBS10a']	['SBS2', 'SBS9']	['SBS1', 'SBS2', 'SBS9', 'SBS59']	['SBS5']	['SBS5', 'SBS43']	['SBS1', 'SBS5', 'SBS7b']	['SBS17a', 'SBS35']
['SBS1', 'SBS5']	['SBS86']	['SBS1', 'SBS5', 'SBS48']	['SBS5', 'SBS59']	['SBS1', 'SBS5', 'SBS19', 'SBS27']	['SBS5', 'SBS25', 'SBS28']	['SBS5', 'SBS10d', 'SBS24', 'SBS48']	['SBS5', 'SBS7d']	['SBS5', 'SBS24']	['SBS5']	['SBS86']	['SBS1', 'SBS5', 'SBS48']	['SBS5', 'SBS24']	['SBS13', 'SBS24', 'SBS46']	['SBS42']	['SBS87']
['SBS5', 'SBS43']	['SBS1', 'SBS5', 'SBS32', 'SBS34']	['SBS5', 'SBS87']	['SBS5']	['SBS1', 'SBS5', 'SBS7a', 'SBS28']	['SBS1', 'SBS3']	['SBS7c']	['SBS5', 'SBS13']	['SBS3']	['SBS5', 'SBS43']	['SBS1', 'SBS5', 'SBS32', 'SBS34']	['SBS5', 'SBS87']	['SBS5']	['SBS5', 'SBS17a']	['SBS5', 'SBS20', 'SBS88']	['SBS7d', 'SBS10a', 'SBS13']
['SBS5', 'SBS28']	['SBS5', 'SBS57']	['SBS1', 'SBS40']	['SBS1', 'SBS5', 'SBS28', 'SBS91']	['SBS13', 'SBS21']	['SBS5', 'SBS17b', 'SBS27']	['SBS5', 'SBS10a']	['SBS1', 'SBS5', 'SBS10a']	['SBS1', 'SBS5', 'SBS21']	['SBS5', 'SBS28']	['SBS5', 'SBS57']	['SBS40']	['SBS5', 'SBS10a']	['SBS10a']	['SBS1', 'SBS25']	['SBS5', 'SBS86']
['SBS39']	['SBS5', 'SBS17b']	['SBS1', 'SBS5']	['SBS1', 'SBS7b', 'SBS7c', 'SBS7d', 'SBS13']	['SBS5']	['SBS5', 'SBS53']	['SBS2', 'SBS13', 'SBS21', 'SBS58']	['SBS5']	['SBS5', 'SBS27', 'SBS57']	['SBS5']	['SBS5', 'SBS17b']	['SBS1', 'SBS5', 'SBS39']	['SBS7c', 'SBS57']	['SBS5', 'SBS57']	['SBS5']	['SBS50', 'SBS51']
['SBS5', 'SBS48', 'SBS58']	['SBS5', 'SBS34']	['SBS32', 'SBS34', 'SBS51']	['SBS5', 'SBS17a']	['SBS5', 'SBS10c', 'SBS34']	['SBS33']	['SBS1', 'SBS21']	['SBS1', 'SBS5', 'SBS39']	['SBS5', 'SBS35']	['SBS58']	['SBS5', 'SBS34']	['SBS32', 'SBS34', 'SBS51']	['SBS5', 'SBS50']	['SBS1', 'SBS5', 'SBS39']	['SBS20']	['SBS1', 'SBS5', 'SBS50']
